Id,SalePrice
1461,129111.08
1462,152697.0
1463,176858.5
1464,180729.2
1465,199364.5
1466,175118.3
1467,165714.5
1468,168889.7
1469,180609.87
1470,121747.18
1471,202745.01
1472,94322.5
1473,97251.0
1474,151921.65
1475,137998.37
1476,365896.0
1477,258113.11
1478,322923.68
1479,287808.59
1480,449045.16
1481,318382.33
1482,204169.1
1483,177589.7
1484,169611.29
1485,170277.1
1486,186324.05
1487,312354.96
1488,254990.11
1489,209899.4
1490,193008.8
1491,182518.9
1492,99960.91
1493,172962.32
1494,306284.16
1495,303131.83
1496,219398.98
1497,199093.75
1498,155900.82
1499,155555.75
1500,152901.56
1501,170325.4
1502,161108.65
1503,301293.72
1504,234279.83
1505,213391.51
1506,187246.48
1507,218545.73
1508,195142.12
1509,164293.1
1510,152176.74
1511,152127.37
1512,167051.17
1513,148160.84
1514,158356.73
1515,182465.38
1516,155412.48
1517,153469.59
1518,136429.46
1519,215250.0
1520,138537.25
1521,144249.25
1522,157025.5
1523,112521.76
1524,121360.43
1525,128062.8
1526,125938.5
1527,107483.37
1528,124900.25
1529,146212.0
1530,159158.5
1531,129242.7
1532,111523.84
1533,137460.75
1534,112673.85
1535,155625.75
1536,117499.6
1537,78261.94
1538,175439.3
1539,244900.64
1540,115813.62
1541,155503.68
1542,147932.58
1543,211267.99
1544,80348.47
1545,105407.5
1546,120946.87
1547,140897.07
1548,142574.06
1549,114634.84
1550,152019.85
1551,115993.4
1552,142904.82
1553,143823.92
1554,107196.82
1555,171857.82
1556,99333.45
1557,119016.96
1558,92772.0
1559,120267.51
1560,146439.2
1561,153003.04
1562,126063.0
1563,124109.4
1564,154831.96
1565,154191.59
1566,209797.52
1567,83923.4
1568,219680.98
1569,141132.54
1570,131589.5
1571,136883.64
1572,145459.0
1573,240567.77
1574,138766.63
1575,211148.74
1576,203682.4
1577,201200.75
1578,142918.01
1579,143040.6
1580,187079.0
1581,136905.0
1582,132765.2
1583,322162.28
1584,234117.81
1585,139927.0
1586,72086.22
1587,106903.04
1588,151381.24
1589,104907.52
1590,134049.47
1591,111795.81
1592,126836.32
1593,119434.0
1594,131480.17
1595,119516.69
1596,222936.09
1597,167697.66
1598,187651.6
1599,213813.52
1600,195725.8
1601,77839.2
1602,115178.0
1603,97109.54
1604,283266.53
1605,248809.6
1606,166510.0
1607,152813.6
1608,218179.1
1609,197049.9
1610,151144.54
1611,146117.75
1612,158681.48
1613,164362.62
1614,124555.75
1615,85780.29
1616,82360.0
1617,88910.01
1618,126120.05
1619,132249.1
1620,142715.24
1621,137916.27
1622,150614.42
1623,273991.81
1624,198985.6
1625,130589.74
1626,169521.32
1627,183699.2
1628,289792.97
1629,170812.4
1630,316797.38
1631,220008.9
1632,243770.64
1633,164387.6
1634,179401.7
1635,177710.1
1636,166568.3
1637,178562.5
1638,213037.13
1639,175814.78
1640,255357.01
1641,183749.92
1642,232764.51
1643,232286.48
1644,231831.37
1645,177855.5
1646,156997.07
1647,161172.5
1648,146952.87
1649,138555.0
1650,119906.59
1651,123389.58
1652,93652.0
1653,99301.0
1654,154421.2
1655,153300.19
1656,150640.49
1657,153770.7
1658,153944.17
1659,140766.35
1660,144419.0
1661,452710.2
1662,380226.78
1663,384220.94
1664,459059.61
1665,328473.84
1666,305364.42
1667,334541.69
1668,333362.36
1669,321720.15
1670,345912.42
1671,251159.64
1672,470842.23
1673,300991.42
